[2016-01-25 00:32:49,678][INFO ][Timer-51       ][XDRBackgroundFileWriter                           ][ 115] flushed 1 records to file ERROR_CRCE_CDR_20160124131249.csv.tmp
[2016-01-25 00:32:54,105][INFO ][Timer-52       ][XDRBackgroundFileWriter                           ][ 115] flushed 6 records to file CRCE_CONF_20160124131253.csv.tmp
[2016-01-25 00:32:56,303][WARN ][Timer-53       ][AbstractXDRFileHandler                            ][ 165] FILE CLOSED::CRCE_CONF_20160125003056.csv.tmp
[2016-01-25 00:32:56,303][INFO ][Timer-53       ][AbstractXDRFileHandler                            ][ 199] file renamed from: CRCE_CONF_20160125003056.csv.tmp to: CRCE_CONF_20160125003056.csv
[2016-01-25 00:32:56,303][WARN ][Timer-53       ][AbstractXDRFileHandler                            ][ 178] File Writer closed!
[2016-01-25 00:32:56,303][WARN ][Timer-53       ][AbstractXDRFileHandler                            ][  98] CREATING NEW FILE ...
[2016-01-25 00:32:56,304][INFO ][Timer-53       ][AbstractXDRFileHandler                            ][ 110] creationTime: 2016-01-25 00:32:56
[2016-01-25 00:32:56,304][WARN ][Timer-53       ][AbstractXDRFileHandler                            ][ 118] NEW FILE CREATED::/var/opt/inew/xdr/common/etl_export/crce_conf/CRCE_CONF_20160125003256.csv.tmp
[2016-01-25 00:32:56,304][INFO ][Timer-53       ][AbstractXDRFileHandler                            ][ 126] expirationTime: 2016-01-25 00:33:56
[2016-01-25 00:32:56,304][INFO ][Timer-53       ][AbstractXDRFileHandler                            ][  78] --- started file handler ---
[2016-01-25 00:32:56,304][INFO ][Timer-53       ][XDRBackgroundFileWriter                           ][ 115] flushed 5 records to file CRCE_CONF_20160125003256.csv.tmp
