[2016-01-30 00:33:41,876][INFO ][Timer-78       ][XDRBackgroundFileWriter                           ][ 115] flushed 5 records to file XAPP_20160129131241.csv.tmp
[2016-01-30 00:33:47,224][INFO ][Timer-49       ][XDRBackgroundFileWriter                           ][ 115] flushed 3 records to file CRCE_CDR_20160129131247.csv.tmp
[2016-01-30 00:33:51,116][INFO ][Timer-51       ][XDRBackgroundFileWriter                           ][ 115] flushed 2 records to file ERROR_CRCE_CDR_20160129131250.csv.tmp
[2016-01-30 00:33:51,116][WARN ][Timer-74       ][AbstractXDRFileHandler                            ][ 165] FILE CLOSED::IN_MFC_20160130002751.csv.tmp
[2016-01-30 00:33:51,116][INFO ][Timer-74       ][AbstractXDRFileHandler                            ][ 210] deleted zero size file: IN_MFC_20160130002751.csv.tmp
[2016-01-30 00:33:51,116][WARN ][Timer-74       ][AbstractXDRFileHandler                            ][ 178] File Writer closed!
[2016-01-30 00:33:51,117][WARN ][Timer-74       ][AbstractXDRFileHandler                            ][  98] CREATING NEW FILE ...
[2016-01-30 00:33:51,117][INFO ][Timer-74       ][AbstractXDRFileHandler                            ][ 110] creationTime: 2016-01-30 00:33:51
[2016-01-30 00:33:51,117][WARN ][Timer-74       ][AbstractXDRFileHandler                            ][ 118] NEW FILE CREATED::/var/opt/inew/xdr/common/olc_export/in_sdr/IN_MFC_20160130003351.csv.tmp
[2016-01-30 00:33:51,117][INFO ][Timer-74       ][AbstractXDRFileHandler                            ][ 126] expirationTime: 2016-01-30 00:38:51
[2016-01-30 00:33:51,117][INFO ][Timer-74       ][AbstractXDRFileHandler                            ][  78] --- started file handler ---
